,Unnamed: 0,distance_subway
585,3922,185
586,3926,696
587,3945,289
589,3956,343
590,3957,391
591,3965,138
592,3975,620
593,4007,606
594,4008,642
596,4044,642
597,4053,590
598,4054,617
599,4151,1450
600,4168,543
601,4173,546
602,4180,369
603,4191,184
604,4199,722
606,4211,1257
607,4223,326
608,4283,909
609,4287,1494
610,4290,109
611,4294,780
612,4296,238
614,4300,502
615,4305,1062
616,4306,1036
617,4310,712
618,4311,608
619,4312,154
620,4313,276
621,4314,122
622,4315,83
623,4316,1121
624,4317,185
625,4321,193
628,4330,69
629,4333,281
632,4384,891
633,4386,327
634,4387,327
635,4388,327
636,4389,327
637,4390,327
639,4410,394
640,4415,496
641,4416,496
642,4422,496
643,4428,2798
644,4445,694
645,4446,517
646,4448,577
647,4463,288
648,4464,284
649,4465,275
650,4466,283
651,4467,285
652,4468,279
653,4469,231
654,4470,231
655,4471,231
656,4472,231
657,4473,231
658,4474,231
659,4475,231
660,4476,231
661,4477,231
662,4478,231
663,4479,231
664,4480,231
665,4481,231
666,4482,231
667,4483,297
668,4484,231
669,4485,231
670,4486,231
671,4487,291
672,4488,231
673,4489,342
674,4490,231
675,4491,231
676,4492,231
677,4493,231
678,4494,231
679,4495,231
680,4496,231
681,4497,231
682,4498,231
683,4499,231
684,4500,231
685,4501,231
686,4502,231
687,4503,231
688,4504,231
689,4505,231
690,4506,231
691,4507,231
692,4508,231
695,4511,655
697,4530,5197
698,4537,157
699,4538,668
700,4539,157
701,4605,416
702,4643,344
703,4651,1292
704,4655,1292
705,4656,800
706,4657,800
707,4659,4
708,4661,1053
709,4663,219
710,4664,1187
711,4668,275
712,4680,932
713,4681,532
715,4705,302
716,4707,307
717,4708,307
718,4709,307
719,4710,307
720,4711,307
721,4712,307
722,4713,307
723,4714,307
724,4715,307
725,4716,307
726,4717,307
727,4750,259
728,4757,1079
729,4759,681
730,4760,1147
731,4761,1079
732,4763,558
733,4768,91
734,4770,300
735,4774,35
738,4826,1334
740,4829,306
742,4831,306
744,4835,433
745,4836,1099
746,4837,862
747,4838,1142
748,4839,569
749,4840,1065
750,4841,347
751,4842,288
752,4843,1235
753,4844,1262
754,4845,1195
755,4846,824
756,4848,206
757,4849,1800
758,4854,925
759,4854,925
760,4857,1326
761,4858,629
762,4859,629
763,4860,629
764,4862,1694
765,4863,1391
766,4864,305
767,4866,907
768,4867,907
769,4868,907
770,4869,1462
771,4870,1461
772,4871,1461
773,4873,1413
774,4878,1187
775,4879,629
776,4880,629
777,4881,677
778,4882,1059
779,4883,1097
780,4885,907
782,4887,997
783,4888,2176
784,4890,83
785,4891,907
786,4892,939
787,4893,1263
788,4894,907
789,4895,907
790,4897,736
791,4898,631
792,4899,1306
793,4900,1306
794,4901,907
795,4902,1158
797,4904,1242
798,4905,826
799,4906,907
800,4916,907
802,4921,70
803,4922,105
805,4926,309
806,4927,309
807,4928,309
811,4942,634
812,4997,561
813,4998,561
814,5003,3801
815,5004,910
816,5005,3801
817,5006,3801
818,5007,3801
819,5008,3801
820,5009,3573
822,5096,1220
823,5097,295
824,5113,485
825,5127,287
826,5133,58
827,5134,725
828,5135,725
829,5136,293
830,5156,4513
831,5159,351
832,5160,1647
833,5161,280
834,5162,3611
835,5178,4434
836,5189,4439
838,5195,26
840,5197,696
841,5201,1235
842,5209,459
843,5210,909
845,5212,140
847,5225,913
848,5227,259
851,5230,774
852,5232,337
853,5233,130
854,5235,236
855,5240,1247
856,5242,554
859,5246,122
860,5247,757
862,5265,328
864,5279,562
865,5282,1253
866,5284,1253
867,5285,321
868,5290,600
869,5292,254
870,5293,242
871,5294,263
872,5295,516
873,5296,260
874,5297,246
875,5298,264
876,5299,270
877,5300,268
878,5309,273
879,5312,254
880,5313,498
881,5317,201
882,5318,217
884,5323,361
885,5329,1131
886,5330,1797
887,5331,1779
890,5340,106
891,5352,161
892,5353,161
894,5355,161
897,5358,161
898,5368,4860
899,5370,2794
900,5371,402
902,5396,409
903,5397,303
904,5398,147
905,5399,468
906,5404,327
908,5415,637
909,5417,5899
910,5431,393
915,5443,456
916,5444,261
917,5448,829
919,5450,138
920,5451,303
922,5454,403
923,5455,156
925,5457,45
926,5459,311
927,5464,313
928,5473,1289
929,5473,1289
930,5476,150
931,5480,392
932,5481,260
933,5489,831
937,5496,577
938,5497,896
939,5498,115
940,5500,631
942,5504,744
944,5524,231
947,5544,484
949,5550,315
951,5572,297
952,5581,1046
953,5584,798
955,5628,580
957,5630,1114
958,5630,1114
959,5644,1014
960,5645,690
961,5647,252
962,5657,318
963,5663,356
965,5673,1036
966,5674,1036
967,5675,1036
968,5676,1036
969,5677,1036
970,5680,1051
971,5683,97
973,5690,553
974,5691,3881
975,5692,155
976,5694,457
977,5698,308
978,5699,308
982,5713,750
985,5728,360
986,5749,492
987,5751,492
988,5753,492
989,5754,492
990,5755,798
991,5759,684
993,5800,1368
995,5803,382
997,5805,4066
998,5807,312
999,5811,390
1000,5812,390
1001,5813,390
1002,5814,390
1003,5815,390
1004,5816,390
1005,5817,390
1006,5818,390
1007,5819,390
1008,5820,390
1009,5821,390
1010,5822,390
1011,5823,390
1012,5824,390
1013,5825,390
1015,5835,271
1016,5840,168
1017,5864,1738
1018,5869,593
1021,5872,519
1022,5878,25
1023,5880,1280
1024,5885,114
1025,5886,115
1026,5887,102
1028,5892,359
1029,5893,443
1030,5900,920
1031,5901,689
1032,5903,373
1033,5904,1121
1034,5906,4329
1038,5910,439
1041,5914,622
1047,5924,5098
1048,5927,1883
1050,5935,507
1051,5954,362
1053,6044,1773
1054,6071,1231
1055,6071,1231
1057,6073,243
1058,6074,234
1059,6088,436
1060,6089,3928
1061,6090,726
1063,6092,726
1065,6094,3928
1066,6095,340
1067,6096,87
1068,6097,301
1069,6101,220
1070,6104,237
1071,6105,292
1072,6106,3614
1073,6107,275
1074,6116,83
1075,6117,482
1076,6118,1216
1077,6119,362
1078,6124,544
1079,6129,622
1080,6132,382
1081,6133,125
1082,6134,1066
1084,6149,413
1085,6150,25
1086,6153,269
1087,6162,1073
1088,6163,1073
1089,6164,1073
1090,6165,1073
1091,6166,1073
1092,6167,2894
1093,6168,1121
1094,6171,380
1095,6172,157
1096,6173,157
1097,6174,157
1098,6175,157
1099,6176,237
1100,6177,237
1101,6180,668
1103,6234,372
1104,6235,372
1105,6236,655
1106,6237,131
1107,6238,131
1108,6239,131
1109,6240,131
1110,6246,516
1111,6249,750
1113,6254,750
1114,6257,750
1115,6258,750
1116,6259,750
1123,6299,358
1124,6312,82
1125,6321,798
1126,6323,3313
1127,6324,693
1128,6326,689
1129,6328,1289
1130,6329,1162
1131,6341,498
1132,6357,1954
1133,6358,179
1134,6359,1900
1135,6360,180
1136,6361,203
1137,6366,131
1139,6389,1723
1140,6399,246
1141,6400,94
1142,6403,405
1143,6404,405
1144,6405,405
1145,6406,405
1147,6417,83
1148,6418,223
1149,6419,223
1150,6427,912
1151,6428,655
1152,6431,401
1154,6433,339
1155,6434,440
1156,6440,94
1158,6442,294
1161,6448,346
1163,6450,5164
1164,6451,2005
1165,6452,109
1167,6467,372
1168,6468,446
1169,6482,318
1170,6485,338
1171,6487,4735
1172,6488,25
1173,6492,375
1174,6493,537
1175,6494,228
1176,6495,668
1177,6496,668
1178,6503,418
1180,6506,548
1181,6508,1130
1182,6510,362
1183,6511,1073
1184,6512,413
1185,6515,654
1186,6516,208
1188,6522,537
1189,6523,542
1190,6527,1783
1193,6554,425
1194,6556,262
1196,6560,904
1197,6564,1669
1198,6572,3756
1200,6586,250
1201,6588,554
1203,6601,403
1204,6607,674
1205,6612,347
1206,6614,1091
1207,6615,231
1208,6620,320
1209,6621,1650
1210,6641,443
1211,6642,798
1213,6647,561
1214,6648,1262
1215,6649,231
1216,6660,1651
1217,6662,259
1218,6663,1230
1219,6665,460
1220,6672,296
1221,6674,296
1222,6676,518
1223,6677,404
1225,6680,1121
1226,6685,525
1227,6687,1366
1229,6725,344
1230,6726,435
1231,6739,221
1233,6749,375
1234,6750,491
1235,6751,97
1236,6752,203
1237,6754,2665
1238,6755,916
1239,6756,654
1240,6760,383
1241,6764,125
1242,6766,283
1243,6769,1909
1244,6771,489
1247,6787,135
1248,6797,3868
1249,6801,452
1250,6802,201
1252,6807,531
1253,6808,1228
1254,6809,761
1255,6810,327
1257,6816,1284
1258,6817,379
1259,6826,781
1260,6827,781
1261,6829,781
1262,6830,781
1263,6831,225
1265,6835,221
1272,7002,1141
1273,7003,400
1274,7004,378
1275,7005,384
1276,7006,400
1277,7007,379
1278,7008,161
1281,7024,798
1282,7036,693
1283,7037,693
1284,7038,693
1285,7059,961
1286,7068,852
1287,7068,852
1288,7070,394
1289,7075,311
1290,7077,383
1291,7084,2983
1292,7092,530
1293,7093,5409
1294,7094,5415
1295,7095,5405
1296,7096,392
1297,7098,156
1298,7099,364
1299,7100,390
1300,7101,3479
1302,7119,434
1304,7128,717
1305,7129,416
1306,7130,655
1307,7131,131
1308,7136,2734
1309,7137,4286
1310,7138,5082
1311,7139,96
1313,7148,411
1314,7154,99
1315,7158,1464
1316,7158,1464
1317,7159,1464
1318,7159,1464
1319,7165,1106
1320,7166,222
1321,7170,1009
1322,7171,1201
1323,7172,1021
1325,7174,230
1326,7177,2246
1327,7178,502
1328,7179,502
1329,7182,1010
1330,7183,1289
1331,7185,222
1332,7190,251
1333,7191,255
1334,7242,186
1335,7249,454
1336,7257,1824
1337,7258,194
1338,7259,3661
1340,7261,682
1341,7262,3773
1344,7301,72
1345,7341,412
1346,7343,252
1348,7359,223
1349,7368,562
1350,7369,519
1351,7370,258
1352,7371,1002
1353,7372,1002
1355,7374,258
1356,7375,571
1357,7376,872
1358,7377,872
1359,7378,872
1361,7381,938
1364,7384,740
1365,7385,607
1366,7387,360
1367,7388,1113
1368,7389,259
1369,7390,194
1370,7391,150
1371,7392,222
1372,7395,921
1375,7398,25
1376,7400,5
1377,7401,518
1378,7403,619
1381,7413,61
1382,7415,729
1383,7417,629
1385,7420,940
1386,7459,101
1387,7460,101
1388,7461,101
1389,7462,101
1390,7463,101
1391,7464,101
1392,7465,101
1393,7466,101
1394,7467,101
1395,7468,101
1396,7469,101
1397,7470,101
1399,7472,410
1401,7480,280
1402,7481,268
1403,7482,259
1404,7483,280
1405,7484,280
1406,7485,280
1407,7486,280
1408,7487,280
1409,7488,280
1410,7489,280
1411,7490,280
1412,7491,280
1413,7492,280
1414,7493,257
1415,7494,280
1416,7495,280
1417,7496,280
1418,7497,280
1419,7498,270
1420,7499,277
1421,7500,280
1422,7501,280
1423,7502,280
1424,7503,280
1425,7504,280
1426,7505,280
1427,7506,280
1428,7507,280
1429,7508,280
1430,7509,655
1431,7510,280
1432,7511,280
1433,7512,280
1434,7513,280
1435,7514,280
1436,7515,280
1437,7516,280
1438,7517,280
1439,7518,280
1440,7519,280
1441,7520,280
1442,7521,280
1443,7522,280
1444,7523,280
1445,7524,280
1446,7525,280
1447,7526,280
1448,7527,280
1449,7528,280
1450,7529,280
1451,7530,280
1452,7531,280
1453,7532,280
1454,7533,280
1455,7534,280
1456,7535,280
1457,7536,280
1458,7537,280
1459,7538,166
1460,7539,166
1461,7540,166
1462,7541,231
1463,7542,166
1464,7543,166
1465,7544,166
1466,7545,166
1467,7546,166
1468,7547,166
1469,7548,166
1470,7549,166
1471,7550,166
1472,7551,166
1473,7552,166
1476,7581,260
1477,7596,500
1479,7599,798
1480,7604,241
1481,7608,369
1483,7612,319
1484,7621,533
1485,7650,556
1486,7651,556
1487,7652,358
1488,7668,715
1489,7674,445
1491,7686,364
1492,7687,898
1493,7688,403
1494,7689,260
1495,7690,398
1496,7697,94
1497,7698,793
1498,7699,793
1501,7702,793
1502,7703,793
1503,7704,793
1504,7705,793
1506,7707,793
1507,7708,793
1509,7710,317
1511,7713,392
1512,7716,5749
1513,7722,94
1514,7725,4255
1515,7733,637
1516,7734,154
1521,7743,470
1522,7759,353
1523,7766,4223
1524,7773,5212
1525,7791,74
1526,7792,502
1528,7806,440
1529,7810,1097
1530,7811,495
1532,7813,309
1533,7814,100
1534,7818,295
1535,7820,1010
1536,7821,110
1541,7862,3429
1542,7877,226
1543,7882,798
1544,7900,274
1546,7908,1747
1547,7909,579
1548,7911,579
1549,7923,135
1550,7929,201
1551,7930,746
1552,7931,246
1555,7940,131
1556,7943,734
1575,7963,1053
1576,7964,1053
1577,7965,1053
1578,7966,1053
1579,7967,1053
1580,7968,1053
1581,7969,1053
1582,7970,1053
1583,7971,1053
1584,7972,1053
1585,7973,1053
1586,7974,1053
1587,7975,1053
1588,7976,1053
1589,7977,1053
1590,7978,1053
1591,7979,1053
1592,7980,1053
1593,7981,1053
1594,7982,1053
1595,7983,1053
1596,7984,1053
1597,7985,1053
1598,7986,1053
1599,7987,1053
1600,7988,1053
1601,7989,1053
1602,7990,1053
1603,7991,1053
1604,7992,1053
1605,7993,1053
1606,7994,1053
1607,7995,1053
1608,7996,1053
1609,7997,1053
1610,7998,1053
1611,7999,1053
1612,8000,1053
1613,8003,166
1614,8004,166
1615,8005,166
1616,8006,166
1617,8007,166
1618,8008,166
1619,8009,166
1620,8010,166
1621,8011,166
1622,8012,166
1623,8013,166
1624,8014,166
1625,8015,166
